answer_id,question,evidence_query,sentence_id,sentence,wiki_title,wiki_evidence,predicted_label,gold_label,notes,gold_label_binary,predicted_label_binary,correct
1,Who developed the theory of relativity?,Albert Einstein,1,Albert Einstein developed the theory of relativity.,Albert Einstein,"Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity. Einstein also made important contributions to quantum theory. His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"". He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Supported,Supported,Evidence directly says Einstein developed the theory of relativity.,Supported,Supported,True
1,Who developed the theory of relativity?,Albert Einstein,2,He was born in Germany.,Albert Einstein,"Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity. Einstein also made important contributions to quantum theory. His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"". He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Unsupported,Supported,Evidence says Einstein was German-born.,Supported,Unsupported,False
1,Who developed the theory of relativity?,Albert Einstein,3,He won the Nobel Prize in Physics in 1921.,Albert Einstein,"Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity. Einstein also made important contributions to quantum theory. His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"". He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Supported,Supported,Evidence says he received the 1921 Nobel Prize in Physics.,Supported,Supported,True
2,What is the capital of France?,Paris,1,The capital of France is Paris.,Paris,"Paris is the capital and largest city of France, with an estimated city population of 2.04 million in an area of 105.4 km2 (40.7 sq mi), and a metropolitan population of 13.2 million as of January 2026. Located on the river Seine in the centre of the Île-de-France region, it is the largest metropolitan area and fourth-most populous city in the European Union (EU). Nicknamed the ""City of Light"", partly because of its role in the Age of Enlightenment, Paris has been one of the world's major centres of finance, diplomacy, commerce, culture, fashion, and gastronomy since the 17th century.",Supported,Supported,Evidence says Paris is the capital of France.,Supported,Supported,True
2,What is the capital of France?,Paris,2,Paris is located in northern France.,Paris,"Paris is the capital and largest city of France, with an estimated city population of 2.04 million in an area of 105.4 km2 (40.7 sq mi), and a metropolitan population of 13.2 million as of January 2026. Located on the river Seine in the centre of the Île-de-France region, it is the largest metropolitan area and fourth-most populous city in the European Union (EU). Nicknamed the ""City of Light"", partly because of its role in the Age of Enlightenment, Paris has been one of the world's major centres of finance, diplomacy, commerce, culture, fashion, and gastronomy since the 17th century.",Supported,Unsupported,Evidence locates Paris in the Île-de-France region but does not clearly state northern France.,Unsupported,Supported,False
2,What is the capital of France?,Paris,3,It is known for the Eiffel Tower.,Paris,"Paris is the capital and largest city of France, with an estimated city population of 2.04 million in an area of 105.4 km2 (40.7 sq mi), and a metropolitan population of 13.2 million as of January 2026. Located on the river Seine in the centre of the Île-de-France region, it is the largest metropolitan area and fourth-most populous city in the European Union (EU). Nicknamed the ""City of Light"", partly because of its role in the Age of Enlightenment, Paris has been one of the world's major centres of finance, diplomacy, commerce, culture, fashion, and gastronomy since the 17th century.",Unsupported,Unsupported,Retrieved evidence does not mention the Eiffel Tower.,Unsupported,Unsupported,True
3,Who wrote Hamlet?,Hamlet,1,Hamlet was written by William Shakespeare.,Hamlet,"The Tragedy of Hamlet, Prince of Denmark, often shortened to Hamlet, is a tragedy written by William Shakespeare sometime between 1599 and 1601. It is Shakespeare's longest play. Set in Denmark, the play depicts Prince Hamlet and his attempts to exact revenge against his uncle, Claudius, who has murdered Hamlet's father in order to seize his throne and marry Hamlet's mother.",Supported,Supported,Evidence says Hamlet was written by William Shakespeare.,Supported,Supported,True
3,Who wrote Hamlet?,Hamlet,2,Shakespeare was an English playwright.,Hamlet,"The Tragedy of Hamlet, Prince of Denmark, often shortened to Hamlet, is a tragedy written by William Shakespeare sometime between 1599 and 1601. It is Shakespeare's longest play. Set in Denmark, the play depicts Prince Hamlet and his attempts to exact revenge against his uncle, Claudius, who has murdered Hamlet's father in order to seize his throne and marry Hamlet's mother.",Supported,Unsupported,Evidence mentions Shakespeare but does not state that he was an English playwright.,Unsupported,Supported,False
3,Who wrote Hamlet?,Hamlet,3,Hamlet is one of his most famous tragedies.,Hamlet,"The Tragedy of Hamlet, Prince of Denmark, often shortened to Hamlet, is a tragedy written by William Shakespeare sometime between 1599 and 1601. It is Shakespeare's longest play. Set in Denmark, the play depicts Prince Hamlet and his attempts to exact revenge against his uncle, Claudius, who has murdered Hamlet's father in order to seize his throne and marry Hamlet's mother.",Supported,Unsupported,Evidence says Hamlet is Shakespeare's longest play but does not support 'one of his most famous tragedies'.,Unsupported,Supported,False
4,What planet is known as the Red Planet?,Mars,1,Mars is known as the Red Planet.,Mars,"Mars is the fourth planet from the Sun. It is also known as the ""Red Planet"", for its orange-red appearance. Mars is a desert-like rocky planet with a tenuous atmosphere that is primarily carbon dioxide. At the average surface level the atmospheric pressure is a few thousandths of Earth's, atmospheric temperature ranges from −153 to 20 °C, and cosmic radiation is high. Mars retains some water, in the ground as well as thinly in the atmosphere, forming cirrus clouds, fog, frost, larger polar regions of permafrost and ice caps, but no bodies of liquid surface water. Its surface gravity is roughly a third of Earth's or double that of the Moon. Its mean diameter, 6,779 km (4,212 mi), is about half the Earth's, or twice the Moon's, and its surface area is the size of all the dry land of Earth.",Supported,Supported,Evidence says Mars is known as the Red Planet.,Supported,Supported,True
